Age,Gender,Grade Level,Cognitive Abilities,Engagement Levels,Pre-Test Scores,Post-Test Scores,Time Spent on AR,Frequency of AR Use,Score Improvement,Performance
15,Male,9th,59.38837064655514,0.3207687687163111,41.356560103185686,53.29458084518291,10.96269878482053,2,11.93802074199722,Medium
16,Male,12th,68.50793501277222,0.8384990467186666,40.79100923491756,57.00307330692391,42.61666576549445,4,16.21206407200635,High
15,Male,10th,50.77283082644337,0.7035470251355032,51.293901006341486,56.844149049700455,47.76078714017639,2,5.55024804335897,Medium
16,Male,10th,96.41592812938626,0.6877762835093721,64.31659992345499,73.1031540886153,38.08267244984852,5,8.786554165160311,Medium
17,Male,10th,71.40920741586572,0.7144511359083641,69.61828387944834,85.31852766771662,64.85656281057507,1,15.700243788268281,High
17,Male,11th,98.33274095218349,0.8452011093846694,44.512506733105845,62.94060929841383,50.16322340554875,1,18.428102565307988,High
15,Male,11th,98.18099885446264,0.8952550247462371,57.82392146056405,70.49908309229905,33.93276170880904,4,12.675161631734994,Medium
17,Female,12th,92.650472773368,0.786201391194247,51.426725698930646,64.40842797791038,73.97447439647411,1,12.981702278979732,Medium
17,Male,12th,64.72244460347929,0.8081314134035724,69.09743193443809,75.70501210453473,43.033473282392684,1,6.6075801700966394,Medium
16,Female,9th,69.25488643009626,0.6870299142734887,65.26356769407126,76.97475319642308,52.613171666839314,4,11.711185502351825,Medium
15,Male,9th,92.55683357584284,0.8376754649952325,65.14986114133413,78.13912013815947,74.38832665787282,4,12.989258996825342,Medium
16,Male,12th,65.84610025781389,0.8051737010465074,54.06079479384911,62.697852348370056,57.454279754839526,5,8.637057554520943,Medium
16,Male,11th,63.28966622354281,0.32715788371953736,52.44458507012995,61.48323353437067,7.30008837287703,1,9.038648464240715,Medium
16,Female,10th,77.84006312291751,0.5712328388068217,48.20221215792119,58.861474604490525,76.3899274168085,1,10.659262446569336,Medium
16,Female,12th,96.80773870803904,0.6279429895718145,41.691264899527816,46.99233286619371,57.66248318428507,5,5.301067966665897,Medium
16,Female,9th,97.48201266936613,0.5495133745517412,65.9416712876516,75.77285877139927,19.05842730854677,3,9.83118748374767,Medium
16,Female,11th,78.50305850446824,0.8661937317746775,64.38703027390233,72.55875037885049,28.356324359803235,3,8.171720104948164,Medium
16,Male,12th,54.85882468853843,0.9052859775839326,69.99153019858392,79.90399048125263,67.64151135621776,3,9.912460282668718,Medium
15,Female,12th,80.75036133495848,0.7060482124525723,69.89910511221716,76.69553708950592,57.20436535571081,5,6.796431977288762,Medium
17,Male,11th,99.50269250521316,0.7092084647228705,56.66295116807882,75.02086037917724,52.007665518579294,1,18.357909211098416,High
16,Male,12th,57.0042007618262,0.7761623055972466,63.06962245541531,76.97350925872604,73.63355498305745,5,13.903886803310726,Medium
16,Female,11th,75.91648261818683,0.7512146509073225,68.34297189647285,83.5295066836402,67.31583267347185,5,15.186534787167346,High
16,Female,10th,93.86865359639776,0.8430934083974079,65.48942172032234,82.32699029943242,29.10049278396507,3,16.837568579110084,High
16,Female,11th,87.03843088771022,0.697681190641289,47.42044305229593,59.89707603623179,38.70332406773289,2,12.476632983935858,Medium
16,Female,11th,84.8507870497634,0.8449142987780999,53.516324059302804,59.82012838061416,34.90934838886794,1,6.303804321311354,Medium
16,Female,11th,92.61201600641255,0.42136304244285105,43.87478245454485,56.93138058182306,15.318285834512201,3,13.056598127278214,Medium
17,Female,12th,67.97455756098776,0.8353974711067856,68.62153081776167,82.42414758807485,22.011946084146764,2,13.802616770313179,Medium
17,Female,12th,64.67959221322467,0.7228959537711458,58.1852390335264,74.36683114629135,54.19338109227899,2,16.181592112764946,High
16,Female,11th,90.46805777392568,0.6886905317091622,46.85928416510388,58.33417735854907,65.74752114444144,4,11.47489319344519,Medium
17,Male,12th,53.49439212130451,0.19189434595917376,60.15102053217571,67.06472507410916,5.769532016292091,1,6.9137045419334555,Medium
15,Female,9th,93.35361592900519,0.8565227082546918,58.543847213736875,67.80048580071774,40.52490492295445,2,9.256638586980863,Medium
16,Female,9th,85.09578807575251,0.42665805466949364,50.74488154098522,61.191115986964746,6.017555886577579,3,10.446234445979528,Medium
15,Male,12th,50.36601172334807,0.40531528533329036,43.40672776598887,58.095486385962886,11.962887758781397,4,14.688758619974017,Medium
15,Female,12th,75.07581473435998,0.8704922921778574,60.14719586778399,73.70887043781767,70.7871375040711,1,13.561674570033674,Medium
16,Male,11th,89.30557199762369,0.3598620242667774,55.6092310271138,65.9506819155815,9.514453504202244,5,10.341450888467698,Medium
17,Male,10th,82.49819653888827,0.8270678329523111,63.16955175206918,82.96728048396388,43.837237433622036,3,19.797728731894694,High
15,Female,12th,85.09834386288517,0.8167056103469792,55.6049050333598,69.6915273237131,67.83772194677321,2,14.086622290353304,Medium
16,Male,9th,89.78963347180505,0.6800853421908083,65.5654450095562,74.12384688559612,28.995045640926428,2,8.558401876039923,Medium
15,Male,11th,63.05148310851395,0.29604448461433447,56.55720516323457,63.08394225254062,8.398749637680663,3,6.526737089306053,Medium
15,Male,12th,66.89975784257679,0.540998225136972,56.82813914606159,64.12102623382657,63.335154103583974,2,7.292887087764981,Medium
15,Male,9th,68.7791476319972,0.9270431516566718,66.29960807975036,74.98897400551797,63.202192192764464,4,8.689365925767618,Medium
15,Female,9th,54.69909699204345,0.7190907490803078,52.10448598637191,59.514706585265245,58.468857973117835,1,7.410220598893332,Medium
17,Male,10th,78.9140070498087,0.8303813051376259,44.02045685351922,51.81896221428881,61.636906668026,4,7.798505360769589,Medium
15,Female,11th,51.797113689837104,0.8113841341475424,40.86348028940017,50.139907819807874,52.56346660085577,2,9.276427530407702,Medium
15,Male,11th,73.27990090662301,0.8857880788099988,62.65411767020857,70.25472159962989,35.10794353441717,5,7.600603929421318,Medium
15,Male,10th,77.13223173537884,0.706669659309744,58.60928654060394,77.06076791000032,40.741759610235164,1,18.451481369396383,High
17,Male,10th,64.32706260641422,0.7703822727527467,61.12239304297671,67.32589922790135,30.89586300808554,1,6.203506184924635,Medium
15,Male,11th,79.54166302845053,0.8059109202614527,46.388924845267326,59.25659568882115,74.5070336800177,3,12.867670843553825,Medium
15,Female,11th,51.52501249695247,0.8372541591430479,44.09114426760309,55.247096672448016,55.00350768596723,3,11.155952404844925,Medium
17,Female,12th,51.86740943746072,0.8654354338408924,40.43633997003646,60.17201922366555,44.05108500581839,5,19.735679253629094,High
17,Male,12th,50.31904116275581,0.36815006973726244,50.517626764197914,57.1982102967187,12.247667715287616,1,6.680583532520785,Medium
17,Male,10th,68.00953207056314,0.6835772556695577,57.69753060563899,68.66536459132512,76.83700037670891,5,10.967833985686127,Medium
15,Female,12th,56.35302563259424,0.8860111366248171,51.76732135299197,71.30937785212251,29.201084186964813,3,19.54205649913054,High
17,Male,9th,76.11216300274022,0.5462924065027861,53.12424766071187,71.10685454912158,55.17378992100783,3,17.982606888409705,High
17,Male,12th,88.49967765493054,0.9070032280542673,67.12476083481245,84.38084189905165,50.35332073306796,1,17.256081064239197,High
15,Male,12th,60.791051374842155,0.7197675757923692,50.447664010699015,59.31620641637311,56.68725412607887,4,8.868542405674098,Medium
17,Female,9th,81.14452379095002,0.7495437171009703,55.419684674794325,62.98299848564531,21.08661102925043,2,7.563313810850985,Medium
15,Female,10th,54.2673732496884,0.6817657398879846,63.50959038223429,78.53923868110076,72.3274345366491,3,15.029648298866462,High
16,Female,9th,94.25390377563613,0.4538022354796844,51.89628346963811,70.8369233065519,15.622581329679225,3,18.94063983691379,High
17,Male,12th,76.5677315784074,0.8771138225980915,58.662601006836205,72.01404440204516,53.907991015352536,4,13.351443395208953,Medium
16,Male,10th,77.03175608050532,0.827086310146404,65.87091126240236,79.44510160445085,61.799049432613536,4,13.574190342048496,Medium
